PH,IFP,NLP,NGP,NGL,NS,MHG,GY
67.1675,14.93375,76.66625,162.6,2.2025,4.66625,154.435,3287.518160875
77.2675,16.4,70.46625,143.7675,2.14,5.0325,157.8625,3268.542370625
51.0,13.1325,49.73375,114.9,2.2199999999999998,4.3,180.39375,3594.7969685
63.86625,13.432500000000001,60.2325,258.1325,4.49,4.9675,187.9225,3809.043907875
69.13375,18.666249999999998,52.2,103.93375,1.7912499999999998,3.53375,172.07375,3659.668850625
71.3,16.833750000000002,63.7,154.43375,2.49,4.8325000000000005,169.295,3465.52012925
73.03375,15.03375,53.667500000000004,148.23375,2.1475,3.96625,194.1725,3140.34645125
65.7,17.26625,52.1325,122.83375,2.31,4.43375,173.72625,2988.82318975
81.33375,19.33375,54.06625,134.93375,2.25875,4.2325,188.86875,3949.0308765
61.9675,16.3675,49.6,104.2,2.0825,3.36625,197.175,3544.98910925
77.56625,17.9,84.16625,169.6,2.19,6.36625,197.2525,3205.20410925
62.5,14.5,94.1325,202.3,2.27125,5.43375,193.90875,3600.2782902500003
76.83375,16.73375,71.7,137.0,1.77625,4.7,156.53,3828.827686875
58.5675,14.133750000000001,54.9,123.06625,2.25625,4.16625,169.60875000000001,3746.98133625
73.5325,15.932500000000001,76.73375,170.86625,2.40625,5.0,175.69,3964.96774425
70.83375,14.8675,63.73375,157.3325,2.41,5.3675,131.6525,3901.5110345
65.0,14.4325,55.73375,142.36625,2.745,4.1675,152.60625,3906.56604875
69.3,14.7,74.8,158.76625,2.055,4.33375,148.685,3784.03649425
65.7,13.6,53.7675,94.43375,2.08125,3.6,179.8075,3607.0254885
66.1,15.899999999999999,47.667500000000004,109.6,2.33,3.8,176.83625,3454.075316
66.9,16.4675,45.667500000000004,108.2,2.15,2.4325,155.865,3780.1605314999997
64.83375,15.6,42.4,102.5,2.455,3.63375,158.09125,2289.211724125
72.2325,15.1,57.96625,132.6,2.29375,4.3325000000000005,165.6125,3374.793606375
73.3,16.4,44.86625,109.0,2.42625,3.73375,154.78625,3275.5355315
71.16624999999999,15.43375,47.33375,116.80000000000001,2.46375,3.1325,151.595,3012.179166625
73.43375,16.7675,44.9325,104.13374999999999,2.295,3.8,170.33,3344.642456875
66.0325,12.6,63.199999999999996,151.66625,2.4074999999999998,3.9,188.65,3527.056063125
58.667500000000004,15.8,52.23375,131.76625,2.4025,4.83375,167.9375,3120.948318875
70.66625,13.466249999999999,61.6325,114.5325,1.89625,3.8674999999999997,168.70499999999998,3497.608606375
69.23375,13.567499999999999,61.96625,127.73375,2.035,3.4325,139.4525,2725.464281625
61.3,14.33375,44.13375,100.13375,2.265,2.76625,204.08125,3157.9611638750002
66.1675,15.1325,55.43375,105.0,1.8725,4.36625,169.68,3148.146178
70.2675,18.66625,57.23375,127.63375,2.19125,4.13375,148.645,3234.073793125
61.5,16.06625,56.7,121.23375,2.155,3.6,189.825,3228.574698375
73.1,17.73375,67.6,142.26625,2.205,4.1,158.2675,2858.790646625
65.26625,14.06625,41.43375,81.86625000000001,2.1225,3.2,156.25625,3215.32969825
67.6675,11.0325,76.9,215.93375,2.7024999999999997,3.43375,154.65625,3606.84952575
75.66624999999999,15.567499999999999,57.7325,134.46625,2.38875,3.13375,171.87,3476.262327625
75.4,15.9325,59.8325,124.23375,2.16375,3.7675,145.6575,3540.752614875
64.96625,14.76625,64.53375,138.43375,2.08875,3.0,154.42625,3620.057270125
